,id,chams,chams_point,play_count
0,넴모넴모뭐믹,Volibear,3.1666666666666665,1
1,넴모넴모뭐믹,Nocturne,7.366666666666667,3
2,넴모넴모뭐믹,Galio,5.6,1
3,넴모넴모뭐믹,Hecarim,7.25,2
4,넴모넴모뭐믹,Sona,2.7637500000000004,4
5,넴모넴모뭐믹,Lux,1.75,1
6,넴모넴모뭐믹,TahmKench,6.0,1
7,넴모넴모뭐믹,Senna,2.4,1
8,넴모넴모뭐믹,Amumu,2.6,1
9,넴모넴모뭐믹,Talon,9.03030303030303,4
10,넴모넴모뭐믹,Trundle,6.8125,2
11,넴모넴모뭐믹,Alistar,5.0,1
12,넴모넴모뭐믹,Warwick,3.733333333333333,2
13,넴모넴모뭐믹,FiddleSticks,7.9,2
14,넴모넴모뭐믹,Yuumi,2.6,1
15,넴모넴모뭐믹,Udyr,9.0,1
16,넴모넴모뭐믹,Viego,2.142857142857143,1
