,id,chams,chams_point,play_count
0,뷰티플게이,Yorick,7.090000000000001,5
1,뷰티플게이,Malzahar,7.0,1
2,뷰티플게이,Nasus,1.0,1
3,뷰티플게이,Kayle,12.805555555555555,3
4,뷰티플게이,Yone,3.8,5
5,뷰티플게이,Ryze,3.666666666666667,5
6,뷰티플게이,Viktor,12.38206349206349,5
7,뷰티플게이,Khazix,17.0,1
8,뷰티플게이,Mordekaiser,3.3333333333333335,1
9,뷰티플게이,Gwen,7.277777777777778,3
10,뷰티플게이,Garen,4.0,1
11,뷰티플게이,Aatrox,8.333333333333332,2
12,뷰티플게이,Sylas,7.625,2
13,뷰티플게이,Camille,9.125,1
14,뷰티플게이,Jax,7.083333333333333,3
15,뷰티플게이,Sett,10.0,1
16,뷰티플게이,Kassadin,15.8,2
17,뷰티플게이,Viego,14.833333333333334,5
18,뷰티플게이,Vayne,6.428571428571429,1
19,뷰티플게이,Cassiopeia,2.25,1
20,뷰티플게이,Teemo,1.75,1
